city,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,rain_sum,snowfall_sum,wind_speed_10m_max,wind_gusts_10m_max,relative_humidity_2m_mean,pressure_msl_mean,cloud_cover_mean,shortwave_radiation_sum,apparent_temperature_max,weather_code
Lankaran,2020-03-02,7.8,5.1,6.6,33.8,33.8,0.0,17.3,35.3,83,1022.8,100,2.83,4.7,63
Lankaran,2020-03-03,12.8,7.9,10.0,0.8,0.8,0.0,17.6,34.9,77,1023.0,65,10.2,11.1,53
Lankaran,2020-03-04,14.0,5.7,10.4,0.0,0.0,0.0,14.4,32.8,81,1023.4,0,16.81,13.0,0
Lankaran,2020-03-05,15.1,8.2,11.7,0.0,0.0,0.0,12.8,32.0,81,1018.8,20,17.04,15.1,3
Lankaran,2020-03-06,14.1,8.1,11.2,0.0,0.0,0.0,9.2,22.7,82,1018.3,49,15.04,13.8,3
Lankaran,2020-03-07,13.9,7.4,10.1,0.0,0.0,0.0,14.4,32.4,87,1023.4,94,12.63,12.2,3
Lankaran,2020-03-08,11.7,5.3,8.7,0.0,0.0,0.0,9.5,25.2,84,1026.7,38,17.19,10.4,3
Lankaran,2020-03-09,12.4,6.6,9.0,0.0,0.0,0.0,15.3,30.6,79,1026.9,13,18.03,11.8,3
Lankaran,2020-03-10,12.9,5.0,9.2,0.0,0.0,0.0,16.6,37.8,91,1021.6,63,16.26,11.5,3
Lankaran,2020-03-11,14.9,7.4,11.4,0.0,0.0,0.0,10.9,23.0,85,1018.0,72,17.32,14.5,3
Lankaran,2020-03-12,17.4,9.7,14.1,0.0,0.0,0.0,8.6,21.6,77,1016.6,14,17.79,18.2,2
Lankaran,2020-03-13,17.9,9.8,13.6,0.0,0.0,0.0,12.7,24.8,77,1019.9,83,17.34,17.8,3
Lankaran,2020-03-14,15.9,10.4,13.1,0.2,0.2,0.0,18.1,37.8,86,1010.3,95,7.68,15.6,51
Lankaran,2020-03-15,16.7,10.8,14.3,1.1,1.1,0.0,12.3,29.9,78,1014.2,82,6.8,16.3,51
Lankaran,2020-03-16,11.5,7.9,9.9,5.9,5.9,0.0,13.3,29.2,94,1018.2,97,5.68,10.9,53
Lankaran,2020-03-17,8.1,6.9,7.5,14.1,14.1,0.0,14.5,30.6,89,1027.7,100,3.13,6.4,53
Lankaran,2020-03-18,9.2,7.1,8.2,17.7,17.7,0.0,10.5,22.0,91,1023.7,100,2.83,7.4,61
